PART_NAME,OEM_NAME,OEM_NUMBER,NEW_OEM_NUMBER,PART_NUMBER,NEW_PART_NUMBER,UPC,COMMENT
BLACK FRAME/SILVER MIRROR LENS (MINIMUM,GATEWAY SAFETY,14GB8M,14GB8M,14GB8M,14GB8M,,toolong
BLACK FRAME/BLUE MIRROR LENS (MINIMUM PU,GATEWAY SAFETY,14GB9M,14GB9M,14GB9M,14GB9M,,toolong
BURGUNDY TEMPLE/RED MIRROR LENS (MINIMUM,GATEWAY SAFETY,15BY1M,15BY1M,15BY1M,15BY1M,,toolong
BURGUNDY TEMPLE/CLEAR LENS (MINIMUM PURC,GATEWAY SAFETY,15BY80,15BY80,15BY80,15BY80,,toolong
BURGUNDY TEMPLE/GRAY LENS (MINIMUM PURCH,GATEWAY SAFETY,15BY83,15BY83,15BY83,15BY83,,toolong
BLACK TEMPLE/CLEAR MIRROR LENS (MINIMUM,GATEWAY SAFETY,15GB0M,15GB0M,15GB0M,15GB0M,,toolong
BLACK TEMPLE/BLUE LIGHT FILTER LENS (MIN,GATEWAY SAFETY,15GB69,15GB69,15GB69,15GB69,,toolong
BLACK TEMPLE/AMBER LENS (MINIMUM PURCHAS,GATEWAY SAFETY,15GB75,15GB75,15GB75,15GB75,,toolong
BLACK TEMPLE/GRAY ANTI-FOG LENS (MINIMUM,GATEWAY SAFETY,15GB78,15GB78,15GB78,15GB78,,toolong
BLACK TEMPLE/CLEAR ANTI-FOG LENS (MINIMU,GATEWAY SAFETY,15GB79,15GB79,15GB79,15GB79,,toolong
BLACK TEMPLE/GOLD MIRROR LENS (MINIMUM P,GATEWAY SAFETY,15GB7M,15GB7M,15GB7M,15GB7M,,toolong
BLACK TEMPLE/CLEAR LENS (MINIMUM PURCHAS,GATEWAY SAFETY,15GB80,15GB80,15GB80,15GB80,,toolong
BLACK TEMPLE/GRAY LENS (MINIMUM PURCHASE,GATEWAY SAFETY,15GB83,15GB83,15GB83,15GB83,,toolong
BLACK TEMPLE/MOCHA LENS (MINIMUM PURCHAS,GATEWAY SAFETY,15GB86,15GB86,15GB86,15GB86,,toolong
GRAY TEMPLE/CLEAR LENS (MINIMUM PURCHASE,GATEWAY SAFETY,15GY80,15GY80,15GY80,15GY80,,toolong
